cinema,lat,lon,seats,rank
단성사,37.57097273,126.9925092,1118,A
국제,37.56948166,126.9761669,1553,A
아시아,37.56898845,126.9957779,1324,A
허리우드,37.57261891,126.9878254,1476,A
세기,37.56975633,126.9916745,948,B
피카디리,37.57098841,126.9913037,1296,A
파고다,37.5712405,126.989051,813,B
한일,37.5711374,127.000433,617,B
동대문,37.57036924,127.003826,687,B
명륜,37.5834461,126.9998457,804,B
바다,37.56926444,126.9984648,476,B
화신,35.86949556,128.59189,273,B
국도,37.5662134,126.9962761,1334,A
중앙,37.55282464,126.99957,1534,A
명보,37.56473338,126.9932314,1505,A
대한,37.56110471,126.9953539,2056,A
스카라,37.56390217,126.9925665,1286,A
코리아,37.56360397,126.9839078,561,A
남대문,37.56044043,126.977511,589,B
극동,37.56221631,126.9951543,606,B
자유,37.558716,126.9767687,688,B
계림,37.56676175,127.0067193,750,B
중부,37.56532033,127.0020388,484,B
초동,37.56526384,126.9932724,424,B
드라마센타,37.55886187,126.9882931,290,B
국립극장,37.55281675,126.9994808,1494,B
노벨,37.57392469,127.0238473,1732,B
대왕,37.57978411,127.0447081,1070,B
오스카,37.57881083,127.0421985,828,B
시대,37.57926658,127.0432474,640,B
동일,37.58054765,127.0448416,758,B
새서울,37.59273621,127.0733248,938,B
중화,37.59679027,127.088685,991,B
신답,37.56991398,127.04968,750,B
답십리,37.5731539,127.0577335,644,B
대영,37.59019621,127.05769,798,B
경미,37.57415477,127.0511912,600,B
경동,37.5793132,127.0387304,767,B
동보,37.57608714,127.0235366,486,B
면목,37.57960669,127.0878919,560,B
청계,37.57025946,127.0118077,912,B
동화,37.56312324,127.0147381,724,B
중곡,37.57954813,127.0878805,600,B
동부,37.54795043,127.0668971,554,B
성동,37.55432087,127.0113865,478,B
광무,37.56531984,127.0254971,439,B
약수,37.55174856,127.0110409,474,B
현대,37.54768712,127.026436,817,B
금호,37.55162014,127.0256791,628,B
성수,37.53708769,127.0562263,600,B
뚝도,37.54017447,127.049267,288,B
미도,37.57352601,127.0237962,528,B
동도,37.59038548,127.0110636,397,B
종암,37.60121552,127.0340422,744,B
이문,37.59193547,127.0569837,728,B
대동,37.6093945,127.0519062,492,B
대지,37.61207788,127.030655,872,B
세일,37.63441493,127.0238156,1220,B
천지,37.64020754,127.0271542,498,B
동광,37.64236476,127.0297837,756,B
삼양,37.6248267,127.0210854,710,B
아폴로,37.62207204,127.0204814,958,B
은좌,37.56988432,126.9143013,756,B
뉴서울,37.5600048,126.9686335,1326,B
화양,37.5651794,126.9668019,852,B
서대문,37.56492361,126.9663224,810,B
신영,37.55661282,126.9401799,950,B
성도,37.59044864,126.942624,476,B
봉래,37.5564478,126.9674495,880,B
수색,37.58256841,126.895196,216,B
대흥,36.32658982,127.4308171,752,B
경보,37.54197002,126.9514616,496,B
마포,37.54197002,126.9514616,1300,B
대성,37.55023824,37.55023824,794,B
제일,37.53463402,126.958402,1322,B
성남,37.54240488,126.9729832,809,B
용산,37.52999692,126.9682473,881,B
철우,37.52453077,37.52453077,472,B
태평,37.52453077,126.9628478,656,B
금성,37.52453077,126.9628478,998,B
경신,37.51470327,126.9184167,445,B
영보,37.51980288,126.907621,499,B
경원,37.51916025,126.9096664,814,B
연흥,37.51875022,126.9095679,854,B
남도,37.52138628,126.8979033,796,B
국일,37.52138628,126.8979033,606,B
한도,37.49036491,126.8881984,584,B
우신,37.49036491,126.8881984,810,B
대림,37.50871477,126.8891381,750,B
흥일,37.41363491,127.1161917,456,B
영남,37.52502088,126.8736382,821,B
오류,37.49483055,126.8418848,656,B
서울,37.5696865,126.9916547,1000,B
명수대,37.50615462,126.9622886,586,B
남성,37.50615462,126.9622886,990,B
봉천,37.48806084,126.9576617,624,B
노량진,37.48806084,126.9576617,592,B
강남,37.50496624,126.9378743,934,B
신림,37.4847924,126.9373088,732,B
천호문화,37.54016852,127.1267665,465,B
천호,37.54047357,127.1258618,491,B
거여,37.50908595,127.1270079,395,B
불광,37.61123816,126.9286858,606,B
양지,37.61123816,126.9286858,966,B
신양,37.61123816,126.9286858,658,B
도원,37.61123816,126.9286858,770,B
